index,image_path,file_name,predicted_label,predicted_class,true_label,true_class
1,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\QCHltvmva5vmGrPo.png,QCHltvmva5vmGrPo.png,0,paper,0,paper
3,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\BqGdYFfhQ4sOU5Xl.png,BqGdYFfhQ4sOU5Xl.png,0,paper,0,paper
7,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\af6U4DsLPicCZcED.png,af6U4DsLPicCZcED.png,0,paper,0,paper
11,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\fSWSXO9fumLluiAF.png,fSWSXO9fumLluiAF.png,0,paper,0,paper
12,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\7ZGsbIMypDIEZxR0.png,7ZGsbIMypDIEZxR0.png,0,paper,0,paper
17,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\cuDzhxpWujBPgJmX.png,cuDzhxpWujBPgJmX.png,0,paper,0,paper
18,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\7IYZ788SAadhvemj.png,7IYZ788SAadhvemj.png,0,paper,0,paper
21,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\41HC0VBlHSRhi0AG.png,41HC0VBlHSRhi0AG.png,0,paper,0,paper
26,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\hUDN2qXDxjoGBWqu.png,hUDN2qXDxjoGBWqu.png,0,paper,0,paper
35,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\Cto0fRvS0ns9lVrs.png,Cto0fRvS0ns9lVrs.png,0,paper,0,paper
4,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\hAcc7l7XQ9EtxxfR.png,hAcc7l7XQ9EtxxfR.png,0,paper,1,rock
5,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\UOBPeuMnZRb6Ycug.png,UOBPeuMnZRb6Ycug.png,1,rock,1,rock
8,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\FOmEbxM5mn9WC2sT.png,FOmEbxM5mn9WC2sT.png,1,rock,1,rock
9,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\5G0hCO6RJXNyxcgV.png,5G0hCO6RJXNyxcgV.png,1,rock,1,rock
19,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\Bm9hYmhGUGmKxDwK.png,Bm9hYmhGUGmKxDwK.png,1,rock,1,rock
20,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\l0XeoPGwezMDYujz.png,l0XeoPGwezMDYujz.png,1,rock,1,rock
22,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\5nKDkVzIMQWmtReM.png,5nKDkVzIMQWmtReM.png,1,rock,1,rock
24,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\boppgwG3Rz1zqCNK.png,boppgwG3Rz1zqCNK.png,1,rock,1,rock
25,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\9buKAwFejr8MhkAF.png,9buKAwFejr8MhkAF.png,1,rock,1,rock
27,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\xhK87JYV3RYJYhA2.png,xhK87JYV3RYJYhA2.png,1,rock,1,rock
2,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\3dI7E5pwR07mvKvF.png,3dI7E5pwR07mvKvF.png,2,scissors,2,scissors
6,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\7Y69sHtbGL2KHj8O.png,7Y69sHtbGL2KHj8O.png,2,scissors,2,scissors
10,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\BtUfOjTzw9EEvNHO.png,BtUfOjTzw9EEvNHO.png,2,scissors,2,scissors
13,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\H9JStRaVHPocFlEq.png,H9JStRaVHPocFlEq.png,2,scissors,2,scissors
14,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\NSv28DjjZXJ8mvhi.png,NSv28DjjZXJ8mvhi.png,2,scissors,2,scissors
15,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\5DdrFpDc8YbG1oCo.png,5DdrFpDc8YbG1oCo.png,2,scissors,2,scissors
16,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\iXpTSeMxuDfhayJw.png,iXpTSeMxuDfhayJw.png,2,scissors,2,scissors
23,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\8K3rwVoAAjAqkkqq.png,8K3rwVoAAjAqkkqq.png,2,scissors,2,scissors
28,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\ukg3QI26FUEa7YDn.png,ukg3QI26FUEa7YDn.png,2,scissors,2,scissors
29,C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\AqQ5Xll9nVqJODji.png,AqQ5Xll9nVqJODji.png,2,scissors,2,scissors
