image_path,file_name,class_name,label,split
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\m7ELYBy0O4wx0YqJ.png,m7ELYBy0O4wx0YqJ.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\OA0s5AsfJEm96cxd.png,OA0s5AsfJEm96cxd.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\E10FR2TKbBsv9Hgm.png,E10FR2TKbBsv9Hgm.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\Y803FUXqbDOwGm0K.png,Y803FUXqbDOwGm0K.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\2PAcPusQ59xIMfiw.png,2PAcPusQ59xIMfiw.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\JKN8VKp7pfMEQdBZ.png,JKN8VKp7pfMEQdBZ.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\zBMp6VflTDyfCqa6.png,zBMp6VflTDyfCqa6.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\5eRezaxzYX8Canq0.png,5eRezaxzYX8Canq0.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\FopS2RV432i19UVz.png,FopS2RV432i19UVz.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\koWcxNMbMRN8TxnP.png,koWcxNMbMRN8TxnP.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\No7Qf3DONPRwor5U.png,No7Qf3DONPRwor5U.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\NCHfmPjxa7aay5AX.png,NCHfmPjxa7aay5AX.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\WuAzBDRg8CTEJS9v.png,WuAzBDRg8CTEJS9v.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\st0riwaAOtBFhJfA.png,st0riwaAOtBFhJfA.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\9JYn3D5vkXtrasPJ.png,9JYn3D5vkXtrasPJ.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\nmxmRD1050oGpGEa.png,nmxmRD1050oGpGEa.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\sDLQgvDkWYW8qa8b.png,sDLQgvDkWYW8qa8b.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\LSpFmcm9V8jmdhR3.png,LSpFmcm9V8jmdhR3.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\GlmYygm1ezDtcUks.png,GlmYygm1ezDtcUks.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\kH6F4XFQOxMTRZj3.png,kH6F4XFQOxMTRZj3.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\bQO2dBIReHsgMCBi.png,bQO2dBIReHsgMCBi.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\BfFGJgByTJnxADwA.png,BfFGJgByTJnxADwA.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\4VYEe9NSyMlJmXUx.png,4VYEe9NSyMlJmXUx.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\CZMVXF6ReNFTmQu3.png,CZMVXF6ReNFTmQu3.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\7NyxZyxSJ1gphzUE.png,7NyxZyxSJ1gphzUE.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\VOgDVSfapx23t5tA.png,VOgDVSfapx23t5tA.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\256MrhkDete6aQhP.png,256MrhkDete6aQhP.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\73UfZ8Dwj0OB66IV.png,73UfZ8Dwj0OB66IV.png,paper,0,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\ejrBEOeknHrk4kCi.png,ejrBEOeknHrk4kCi.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\XyUSCoWQqR72pGt8.png,XyUSCoWQqR72pGt8.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\rock\uK8EXLN4mejf6aN0.png,uK8EXLN4mejf6aN0.png,rock,1,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\scissors\jbj5K46TOmR5hkWu.png,jbj5K46TOmR5hkWu.png,scissors,2,train
C:\Users\pedse\Desktop\DIPagrindai\lab3\images\paper\e96cq72UJTICTkE0.png,e96cq72UJTICTkE0.png,paper,0,train
